name,category,subcategory,latitude,longitude,description,entry_fee_inr,is_free,opening_time,closing_time,best_visit_time,duration_minutes,popularity_score,difficulty_level,facilities,instagram_tags,address,taluka,contact_number,website,parking_available,wheelchair_accessible,food_available,photo_spots,best_for,avoid_when,tips,last_verified_date,RESEARCH_STATUS
Calangute Beach,Beach,North Goa Beach,15.544500,73.755100,"Calangute Beach is one of North Goa's most iconic and bustling beaches, stretching approximately 7 kilometers along the Arabian Sea coastline. Known as the Queen of Beaches, Calangute attracts a diverse crowd of domestic and international tourists year-round. The beach offers golden sands perfect for sunbathing, swimming, and an array of water sports including parasailing, jet skiing, banana boat rides, and windsurfing. The shoreline is dotted with vibrant beach shacks serving fresh seafood, cold drinks, and authentic Goan cuisine.",0,TRUE,00:00,23:59,Sunset (17:00-18:30),120,9,Easy,Lifeguards|Toilets|Beach Shacks|Water Sports|Parking|ATM|First Aid,#CalanguteBeach|#GoaBeaches|#NorthGoa|#BeachLife|#GoaTourism,"Calangute Beach Road, Calangute, North Goa, Goa 403516",Bardez,+91-832-227-6745,https://www.goatourism.gov.in,Yes,Partial,Yes,8,Families|Couples|Adventure Seekers|Party Lovers,Monsoon (June-September)|Weekends can be very crowded,"Visit early morning (6-8 AM) for peaceful sunrise walks and fewer crowds. Always bargain with water sports vendors and only use licensed operators. Apply sunscreen generously.",2024-11-01,COMPLETE
Baga Beach,Beach,North Goa Beach,15.555600,73.751700,"Baga Beach is one of the most vibrant and popular beaches in North Goa, famous for its lively nightlife, water sports, and beachside shacks. Located just north of Calangute Beach, Baga offers a perfect blend of relaxation and entertainment. The beach is renowned for its numerous clubs and bars including the famous Tito's and Britto's. During the day, visitors can enjoy parasailing, jet skiing, banana boat rides, and dolphin watching tours. The beach transforms into a party hub after sunset with live music, DJ nights, and beach parties.",0,TRUE,00:00,23:59,Evening (18:00-23:00),150,9,Easy,Lifeguards|Toilets|Beach Shacks|Water Sports|Parking|ATM|Nightclubs|Shopping,#BagaBeach|#GoaNightlife|#BeachParty|#NorthGoa|#WaterSports,"Baga Beach Road, Baga, Calangute, North Goa, Goa 403516",Bardez,+91-832-227-9894,https://www.goatourism.gov.in,Yes,Partial,Yes,9,Party Lovers|Young Travelers|Couples|Adventure Seekers,Monsoon (June-September)|Can get overcrowded on weekends and holidays,"Best time for water sports is morning (9-11 AM) when waters are calmer. Book dolphin tours early morning for better sightings. Nightlife picks up after 9 PM.",2024-11-01,COMPLETE
Anjuna Beach,Beach,North Goa Beach,15.574400,73.740600,"Anjuna Beach is a popular beach destination located in North Goa, known for its vibrant Wednesday flea market and attractive shoreline. The beach offers soft golden sand with moderate waves, suitable for swimming during calm weather. Anjuna has a laid-back atmosphere compared to some of the busier beaches in Goa but still provides plenty of activities and entertainment. The beach is lined with shacks serving local and international cuisine, and offers options for water sports like parasailing and banana boat rides.",0,TRUE,00:00,23:59,Morning (7-10 AM) or Evening (17:00-19:00),120,8,Easy,Parking|Toilets|Beach Shacks|Water Sports|Restaurants|Shops|Sun Loungers,#AnjunaBeach|#GoaBeaches|#NorthGoa,"Anjuna Beach Road, Anjuna, Bardez, North Goa, Goa 403509",Bardez,+91-832-227-8910,https://www.goatourism.gov.in,Yes,Partial,Yes,8,Backpackers|Young Travelers|Couples|Families,Monsoon season (June-September)|Peak season crowds (Dec-Feb),"Visit early to avoid crowds. Bargain with vendors. Check weather before water sports. Visit the famous Wednesday flea market.",2024-11-01,COMPLETE
Vagator Beach,Beach,North Goa Beach,15.599200,73.736900,"Vagator Beach is a beautiful coastal destination in North Goa, known for its red cliffs, clean shoreline, and relaxed atmosphere. The beach features soft golden sand and is divided into two parts: the main Vagator Beach and the smaller, more intimate Ozran Beach nearby. Vagator offers stunning views of the Arabian Sea and has several cliff-side restaurants that provide spectacular sunset views. The beach is popular among tourists for sunbathing, swimming, and enjoying water sports like jet skiing and parasailing.",0,TRUE,00:00,23:59,Sunset (17:00-19:00),120,8,Easy,Parking|Toilets|Beach Shacks|Water Sports|Restaurants|Clifftop Views|Sun Loungers,#VagatorBeach|#GoaBeaches|#NorthGoa,"Vagator Beach Road, Vagator, Bardez, North Goa, Goa 403509",Bardez,+91-832-227-8890,https://www.goatourism.gov.in,Yes,Partial,Yes,8,Couples|Photographers|Families|Sunset Lovers,Monsoon season (June-September)|Midday heat (12-3 PM),"Visit during sunset for best views. Try cliff-side restaurants. Apply sunscreen. Choose beach shacks for food.",2024-11-01,COMPLETE
Arambol Beach,Beach,North Goa Beach,15.684200,73.704400,"Arambol Beach, also known as Harmal Beach, is a picturesque and serene destination in North Goa. Renowned for its distinct bohemian and laid-back atmosphere, it features a beautiful stretch of silvery sand, rocky cliffs, and is considered one of Goa's most visually appealing and greenest beaches. Key attractions include the Sweet Water Lake (Paliem Lake), a freshwater lagoon with sulphurous mud believed to have curative properties, and a famous Banyan Tree where The Beatles reportedly meditated. The beach is a prime location for paragliding and kite surfing.",0,TRUE,00:00,23:59,November to March,150,8,Easy,"Beach shacks|Yoga and wellness centers|Paragliding and kite surfing|Dolphin watching tours|Shopping stalls|Cafes and restaurants",#ArambolBeach|#GoaBeaches|#NorthGoa,"Arambol Beach, Arambol, Pernem, North Goa, Goa 403524",Pernem,NA,https://www.goatourism.gov.in,Yes,No,Yes,8,"Backpackers|Hippies|Yoga and wellness enthusiasts|Adventure seekers",Monsoon (June to September),"Explore the nearby Sweet Water Lake and the Banyan Tree. The beach is famous for its sunset drum circles. It's a great place for learning yoga, meditation, and other wellness activities.",2025-11-03,COMPLETE
Candolim Beach,Beach,North Goa Beach,15.517800,73.762200,"Candolim Beach is one of North Goa's longest beaches, known for its soft, glittering sand and a serene, tranquil environment. It is generally quieter than its neighbors like Calangute and Baga, making it ideal for those seeking a more relaxed experience. The beach offers a variety of water sports, including jet-skiing, parasailing, and banana boat rides. A major attraction at the southern end of the beach is the historic Fort Aguada, built by the Portuguese in 1612.",0,TRUE,00:00,23:59,November to April,120,8,Easy,"Water sports|Dolphin and crocodile spotting tours|Beach shacks|Sun loungers and parasols|Nightclubs and discos|Shops and restaurants",#CandolimBeach|#GoaBeaches|#NorthGoa,"Candolim Beach Road, Candolim, Bardez, North Goa, Goa 403515",Bardez,NA,https://www.goatourism.gov.in,Yes,Partial,Yes,8,"Families|Couples|Relaxation|Water sports enthusiasts",Monsoon (June to September),"Candolim offers a more relaxed atmosphere compared to Baga and Calangute. Visit Fort Aguada for a glimpse into Goa's history and for panoramic views. The road parallel to the beach is great for shopping and dining.",2025-11-03,COMPLETE
Morjim Beach,Beach,North Goa Beach,15.631700,73.732200,"Morjim Beach is a serene and tranquil destination in North Goa, often referred to as 'Little Russia' due to its popularity among Russian travelers. It is most famous for being a nesting ground for the endangered Olive Ridley Sea Turtles. The beach offers a relaxed atmosphere, making it a quieter alternative to more crowded Goan beaches. It's also an excellent spot for birdwatching.",0,TRUE,00:00,23:59,October to March,120,7,Easy,"Beach shacks|Water sports|Chapora River cruises|Yoga and wellness centers|Shopping stalls|Restaurants",#MorjimBeach|#TurtleBeach|#GoaBeaches,"Morjim Beach, Pernem, North Goa, Goa 403512",Pernem,NA,https://www.goatourism.gov.in,Yes,No,Yes,7,"Nature lovers|Turtle watchers|Birdwatchers|Relaxation",Monsoon (June to September),"Visit between November and March to witness the Olive Ridley turtle nesting season. It's a great place for birdwatching, especially during the winter months. Enjoy a peaceful and relaxing atmosphere compared to other North Goa beaches.",2025-11-03,COMPLETE
Ashwem Beach,Beach,North Goa Beach,15.663300,73.719400,"Ashwem Beach, also known as Ashvem Beach, is a serene and less crowded beach in North Goa, known for its pristine beauty, long stretches of golden sand, and clear, calm waters. It offers a peaceful ambiance, making it an ideal spot for those seeking a quiet vacation. The beach is also a nesting site for the endangered Olive Ridley Turtles.",0,TRUE,00:00,23:59,October to March,120,7,Easy,"Beach shacks|Water sports|Beach spas|Ayurvedic massage centers|Yoga and meditation retreats|Restaurants",#AshwemBeach|#GoaBeaches|#NorthGoa,"Ashwem Beach, Pernem, North Goa, Goa 403527",Pernem,NA,https://www.goatourism.gov.in,Yes,No,Yes,8,"Relaxation|Couples|Families|Wellness enthusiasts",Monsoon (June to September),"Ashwem is a great place for a quiet and relaxing beach holiday. It's less crowded than other North Goa beaches. Don't miss the opportunity to see the Olive Ridley turtles during the nesting season. The beach has some excellent restaurants, including the famous French restaurant, La Plage.",2025-11-03,COMPLETE
Sinquerim Beach,Beach,North Goa Beach,15.493900,73.770800,"Sinquerim Beach is a picturesque beach in North Goa, located at the south of the famous beaches like Calangute, Baga, and Candolim. It is known for its beautiful white sandy shoreline and is a great place for swimming. The beach is adjacent to the historic Fort Aguada. Sinquerim is also famous for the Sunburn Festival, a popular electronic dance music festival held in December.",0,TRUE,00:00,23:59,November to February,90,7,Easy,"Water sports|Dolphin watching tours|Beach shacks|Restaurants|Sun loungers and parasols|Nightclubs",#SinquerimBeach|#GoaBeaches|#NorthGoa,"Sinquerim, Candolim, North Goa, Goa 403515",Bardez,NA,https://www.goatourism.gov.in,Yes,Partial,Yes,7,"Water sports enthusiasts|History lovers|Music festival attendees",Monsoon (June to September),"Visit the historic Fort Aguada, which is right next to the beach. If you are a music lover, plan your trip around the Sunburn Festival in December. The beach offers a wide range of water sports.",2025-11-03,COMPLETE
Mandrem Beach,Beach,North Goa Beach,15.669200,73.716700,"Mandrem Beach is known for its serene and peaceful atmosphere, making it a popular choice for those seeking a tranquil retreat. It features a vast stretch of pristine white sand, clear waters, and swaying palm trees. A unique characteristic is the Mandrem Creek, which runs parallel to the waterline. The beach is also known for its beautiful sunrises and sunsets.",0,TRUE,00:00,23:59,November to March,120,7,Easy,"Beach shacks|Yoga and wellness retreats|Water sports (kayaking, windsurfing)|Dolphin watching tours|ATV rides|Restaurants",#MandremBeach|#GoaBeaches|#NorthGoa,"Mandrem Beach, Pernem, North Goa, Goa 403527",Pernem,NA,https://www.goatourism.gov.in,Yes,No,Yes,7,"Relaxation|Couples|Families|Yoga and wellness enthusiasts",Monsoon (June to September),"Mandrem is a great place for a quiet and relaxing beach holiday. It's less crowded than other North Goa beaches. Explore the Mandrem Creek and the nearby mangrove forests by kayak. The beach is ideal for yoga and meditation.",2025-11-03,COMPLETE
